Sec,Ticks,msg_type,Channel,Notes,Velocities,Note_Lengths,Tempo,mean_velocity,diff_velocity,Dynamic,accent
8.410416666666663,0.1645833333333333,['note_on'],1.0,[79],[79],0.1645833333333333,60.0,22.0,79.0,mf,1
8.412499999999996,0.0020833333333333,['note_on'],0.0,[79],[79],0.0020833333333333,60.0,0.0,79.0,mf,0
8.460416666666664,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0479166666666666,60.0,-79.0,0.0,ppp,0
8.910416666666663,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.45,60.0,0.0,0.0,ppp,0
8.91458333333333,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[62, 62]",0.0041666666666666,60.0,62.0,62.0,mp,0
9.243749999999997,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[62, 62]",0.3291666666666666,60.0,0.0,62.0,mp,0
9.266666666666664,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0229166666666666,60.0,-62.0,0.0,ppp,0
9.410416666666665,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[75, 75]",0.14375,60.0,75.0,75.0,mf,0
9.470833333333331,0.0604166666666666,['note_on'],1.0,[76],[0],0.0604166666666666,60.0,-75.0,0.0,ppp,0
9.472916666666665,0.0020833333333333,['note_on'],0.0,[76],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
9.756249999999998,0.2833333333333333,['note_on'],1.0,[67],[75],0.2833333333333333,60.0,75.0,75.0,mf,0
9.758333333333333,0.0020833333333333,['note_on'],0.0,[67],[75],0.0020833333333333,60.0,0.0,75.0,mf,0
9.77083333333333,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.0125,60.0,-75.0,0.0,ppp,0
9.98333333333333,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.2125,60.0,0.0,0.0,ppp,0
10.256249999999998,0.2729166666666666,['note_on'],1.0,[67],[77],0.2729166666666666,60.0,77.0,77.0,mf,1
10.258333333333333,0.0020833333333333,['note_on'],0.0,[67],[77],0.0020833333333333,60.0,0.0,77.0,mf,0
10.447916666666664,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[64, 64]",0.1895833333333333,60.0,-13.0,64.0,mp,0
10.477083333333333,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.0291666666666666,60.0,-64.0,0.0,ppp,0
10.808333333333332,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[68, 68]",0.33125,60.0,68.0,68.0,mp,0
10.816666666666665,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0083333333333333,60.0,-68.0,0.0,ppp,0
10.979166666666664,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.1625,60.0,0.0,0.0,ppp,0
10.987499999999995,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[81, 81]",0.0083333333333333,60.0,81.0,81.0,mf,1
12.424999999999995,0.0,"['note_on', 'note_on']",,"[72, 72]","[0, 0]",1.4375,60.0,-81.0,0.0,ppp,0
