Sec,Ticks,msg_type,Channel,Notes,Velocities,Tempo,diff_velocity
19.45625,0.0484375,['note_off'],0,[58],[72],80.0,-31.0
19.4984375,0.0421875,['note_off'],0,[61],[73],80.0,1.0
19.525000000000002,0.026562500000000003,['note_off'],0,[45],[103],80.0,30.0
20.779687500000005,0.021875000000000002,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0,"[38, 53, 57, 60, 64]","[70, 70, 70, 70, 70]",80.0,-33.0
20.973437500000006,0.19375,['note_off'],0,[53],[96],80.0,26.0
20.987500000000008,0.0140625,['note_off'],0,[57],[94],80.0,-2.0
20.99843750000001,0.010937500000000001,['note_off'],0,[60],[82],80.0,-12.0
21.007812500000007,0.009375000000000001,['note_off'],0,[64],[66],80.0,-16.0
21.015625000000007,0.0078125,['note_off'],0,[38],[97],80.0,31.0
22.179687500000007,0.65,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0,"[43, 53, 56, 59, 64]","[70, 70, 70, 70, 70]",80.0,-27.0
22.418750000000006,0.2390625,['note_off'],0,[64],[75],80.0,5.0
22.450000000000006,0.03125,['note_off'],0,[53],[96],80.0,21.0
22.464062500000008,0.0140625,['note_off'],0,[59],[97],80.0,1.0
22.473437500000006,0.009375000000000001,['note_off'],0,[56],[85],80.0,-12.0
22.528125000000006,0.0546875,['note_off'],0,[43],[76],80.0,-9.0
23.02968750000001,0.029687500000000002,"['note_on', 'note_on', 'note_on', 'note_on', 'note_on']",0,"[36, 55, 59, 62, 64]","[70, 70, 70, 70, 70]",80.0,-6.0
25.315625000000008,2.2859375,['note_off'],0,[55],[107],80.0,37.0
25.32187500000001,0.0,"['note_off', 'note_off']",0,"[36, 59]","[108, 96]",80.0,-5.0
25.32968750000001,0.0078125,['note_off'],0,[62],[96],80.0,-6.0
59.000000000000014,33.643750000000004,['note_off'],,[64],[107],80.0,11.0
