Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
16.1328125,0.18359375,['note_off'],0,[62],[54],,64.0
16.18359375,0,"['note_off', 'note_on', 'note_on']",0,"[74, 72, 64]","[63, 64, 64]",,64.0
16.41796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[72, 71, 64, 62]","[68, 64, 52, 64]",,64.0
16.65234375,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[71, 69, 62, 60]","[68, 64, 55, 64]",,64.0
16.88671875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[69, 67, 60, 59]","[59, 64, 72, 64]",,64.0
17.03125,0.14453125,['note_off'],1,[65],[63],,64.0
17.109375,0.078125,['note_on'],1,[65],[64],,64.0
17.34375,0,"['note_off', 'note_on', 'note_on']",1,"[65, 64, 48]","[55, 64, 64]",,64.0
17.35546875,0,"['note_off', 'note_on']",0,"[59, 60]","[53, 64]",,64.0
17.55078125,0.1953125,['note_off'],0,[67],[40],,64.0
17.6015625,0.05078125,['note_on'],1,[67],[64],,64.0
17.8125,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[64, 62, 48, 50]","[47, 64, 54, 64]",,64.0
17.8359375,0,"['note_off', 'note_on']",0,"[67, 65]","[23, 64]",,64.0
18.0703125,0,"['note_off', 'note_on']",3,"[65, 64]","[38, 64]",,64.0
18.28125,0,"['note_off', 'note_on']",1,"[50, 52]","[57, 64]",,64.0
18.29296875,0,"['note_off', 'note_on']",0,"[60, 58]","[68, 64]",,64.0
18.3046875,0,"['note_off', 'note_on']",0,"[64, 65]","[35, 64]",,64.0
18.5390625,0,"['note_off', 'note_on']",1,"[65, 67]","[46, 64]",,64.0
18.75,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[62, 60, 52, 53]","[46, 64, 65, 64]",,64.0
18.76171875,0,"['note_off', 'note_on']",0,"[58, 57]","[70, 64]",,64.0
18.7734375,0,"['note_off', 'note_on']",0,"[67, 69]","[29, 64]",,64.0
19.0078125,0,"['note_off', 'note_on']",1,"[69, 67]","[65, 64]",,64.0
19.21875,0,"['note_off', 'note_on']",1,"[60, 65]","[54, 64]",,64.0
19.23046875,0,"['note_off', 'note_on']",0,"[57, 62]","[52, 64]",,64.0
19.2421875,0,"['note_off', 'note_on']",3,"[67, 69]","[45, 64]",,64.0
19.453125,0,"['note_off', 'note_on']",0,"[53, 55]","[62, 64]",,64.0
19.4765625,0,"['note_off', 'note_on']",3,"[69, 71]","[57, 64]",,64.0
19.5703125,0.09375,['note_off'],3,[55],[64],,64.0
19.578125,0.0078125,['note_on'],1,[53],[64],,64.0
19.6875,0,"['note_off', 'note_on']",3,"[65, 52]","[73, 64]",,64.0
19.6953125,0.0078125,['note_off'],1,[53],[64],,64.0
19.69921875,0,"['note_off', 'note_on']",0,"[62, 55]","[58, 64]",,64.0
19.7109375,0,"['note_off', 'note_on']",1,"[71, 72]","[65, 64]",,64.0
19.921875,0.2109375,['note_on'],1,[67],[64],,64.0
20.15625,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[67, 65, 52, 57]","[50, 64, 55, 64]",,64.0
20.16796875,0,"['note_off', 'note_on']",1,"[55, 60]","[61, 64]",,64.0
20.390625,0,"['note_off', 'note_on']",1,"[65, 64]","[50, 64]",,64.0
20.625,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[64, 65, 57, 50]","[42, 64, 63, 64]",,64.0
20.63671875,0.01171875,['note_off'],1,[60],[65],,64.0
20.87109375,0.234375,['note_on'],1,[57],[64],,64.0
21.09375,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[65, 62, 50, 55]","[47, 64, 65, 64]",,64.0
