Sec,Ticks,msg_type,Channel,Notes,Velocities,Tempo,mean_velocity,diff_velocity
12.25609225,0.0,"['note_off', 'note_on']",0,"[68, 67]","[77, 64]",82.00003553334874,-5.5,70.5
12.439019,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[75, 78, 67, 68]","[63, 64, 38, 64]",82.00003553334874,-13.25,57.25
12.62194575,0.0,"['note_off', 'note_on']",1,"[68, 70]","[76, 64]",82.00003553334874,12.75,70.0
12.8048725,0.0,"['note_off', 'note_on', 'note_on']",1,"[70, 72, 56]","[69, 64, 64]",82.00003553334874,-4.333333333333329,65.66666666666667
12.98779925,0.0,"['note_off', 'note_on']",1,"[72, 68]","[80, 64]",82.00003553334874,6.333333333333329,72.0
13.170726,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[68, 73, 56, 58]","[72, 64, 52, 64]",82.00003553334874,-9.0,63.0
13.35365275,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[73, 72, 58, 56]","[6, 64, 54, 64]",82.00003553334874,-16.0,47.0
13.5365795,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[72, 70, 56, 54]","[65, 64, 61, 64]",82.00003553334874,16.5,63.5
13.71950625,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[70, 72, 54, 56]","[69, 64, 51, 64]",82.00003553334874,-1.5,62.0
13.902433,0.0,"['note_off', 'note_on', 'note_off', 'note_on', 'note_off', 'note_on']",1,"[78, 77, 72, 73, 56, 65]","[54, 64, 74, 64, 65, 64]",82.00003553334874,2.1666666666666714,64.16666666666667
14.08535975,0.0,"['note_off', 'note_on']",1,"[73, 72]","[42, 64]",82.00003553334874,-11.166666666666671,53.0
14.2682865,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[72, 70, 65, 61]","[74, 64, 1, 64]",82.00003553334874,-2.25,50.75
14.45121325,0.0,"['note_off', 'note_on']",1,"[70, 68]","[73, 64]",82.00003553334874,17.75,68.5
14.63414,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",2,"[68, 70, 61, 56]","[73, 64, 72, 64]",82.00003553334874,-0.25,68.25
14.9999935,0.0,"['note_off', 'note_on']",2,"[56, 54]","[55, 64]",82.00003553334874,-8.75,59.5
15.18292025,0.0,"['note_off', 'note_on']",0,"[54, 53]","[62, 64]",82.00003553334874,3.5,63.0
15.365847,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[77, 75, 53, 54]","[73, 64, 66, 64]",82.00003553334874,3.75,66.75
15.54877375,0.0,"['note_off', 'note_on']",1,"[70, 68]","[73, 64]",82.00003553334874,1.75,68.5
15.7317005,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[68, 66, 54, 63]","[70, 64, 77, 64]",82.00003553334874,0.25,68.75
15.91462725,0.0,"['note_off', 'note_on']",1,"[66, 70]","[1, 64]",82.00003553334874,-36.25,32.5
16.097554,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[70, 68, 63, 53]","[76, 64, 57, 64]",82.00003553334874,32.75,65.25
16.28048075,0.0,"['note_off', 'note_on']",0,"[68, 66]","[73, 64]",82.00003553334874,3.25,68.5
16.4634075,0.0,"['note_off', 'note_on', 'note_off', 'note_on', 'note_off', 'note_on']",1,"[75, 73, 66, 65, 53, 61]","[66, 64, 58, 64, 69, 64]",82.00003553334874,-4.333333333333329,64.16666666666667
16.64633425,0.0,"['note_off', 'note_on']",0,"[65, 68]","[49, 64]",82.00003553334874,-7.666666666666671,56.5
16.829261,0.0,"['note_off', 'note_on', 'note_off', 'note_on', 'note_off', 'note_on']",1,"[73, 72, 68, 66, 61, 51]","[66, 64, 73, 64, 66, 64]",82.00003553334874,9.666666666666671,66.16666666666667
17.01218775,0.0,"['note_off', 'note_on']",0,"[66, 65]","[76, 64]",82.00003553334874,3.8333333333333286,70.0
17.1951145,0.0,"['note_off', 'note_on', 'note_off', 'note_on', 'note_off', 'note_on']",1,"[72, 75, 65, 66, 51, 60]","[74, 64, 47, 64, 69, 64]",82.00003553334874,-6.333333333333336,63.666666666666664
17.37804125,0.0,"['note_off', 'note_on']",1,"[66, 63]","[72, 64]",82.00003553334874,4.333333333333336,68.0
17.560968,0.0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[63, 65, 60, 49]","[58, 64, 69, 64]",82.00003553334874,-4.25,63.75
17.9268215,0.0,"['note_on', 'note_off', 'note_on']",0,"[68, 49, 61]","[64, 83, 64]",82.00003553334874,6.583333333333329,70.33333333333333
