Sec,Ticks,msg_type,Channel,Notes,Velocities,Note_Lengths,Tempo,mean_velocity,diff_velocity
2.85625,2.85625,['note_on'],0.0,[71],[66],2.85625,60.0,66.0,66.0
2.8583333333333334,0.0020833333333333,['note_on'],0.0,[71],[66],0.0020833333333333,60.0,0.0,66.0
3.1625,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[53, 53]",0.3041666666666666,60.0,-13.0,53.0
3.1791666666666667,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.0166666666666666,60.0,-53.0,0.0
3.34375,0.1645833333333333,['note_on'],0.0,[79],[73],0.1645833333333333,60.0,73.0,73.0
3.345833333333333,0.0020833333333333,['note_on'],0.0,[79],[73],0.0020833333333333,60.0,0.0,73.0
3.377083333333333,0.03125,['note_on'],0.0,[76],[0],0.03125,60.0,-73.0,0.0
3.3791666666666664,0.0020833333333333,['note_on'],0.0,[76],[0],0.0020833333333333,60.0,0.0,0.0
3.7625,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.3833333333333333,60.0,0.0,0.0
4.791666666666666,1.0291666666666666,['note_on'],0.0,[69],[59],1.0291666666666666,60.0,59.0,59.0
4.793749999999999,0.0020833333333333,['note_on'],0.0,[69],[59],0.0020833333333333,60.0,0.0,59.0
5.135416666666666,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.3416666666666667,60.0,-59.0,0.0
5.14375,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[57, 57]",0.0083333333333333,60.0,57.0,57.0
5.275,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[75, 75]",0.13125,60.0,18.0,75.0
5.345833333333333,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0708333333333333,60.0,-75.0,0.0
5.5,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.1541666666666666,60.0,0.0,0.0
5.570833333333334,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[66, 66]",0.0708333333333333,60.0,66.0,66.0
5.739583333333334,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.16875,60.0,-66.0,0.0
6.093750000000001,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[59, 59]",0.3541666666666667,60.0,59.0,59.0
6.300000000000001,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[55, 55]",0.20625,60.0,-4.0,55.0
6.322916666666667,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.0229166666666666,60.0,-55.0,0.0
6.612500000000001,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[59, 59]",0.2895833333333333,60.0,59.0,59.0
6.652083333333335,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0395833333333333,60.0,-59.0,0.0
6.785416666666668,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.1333333333333333,60.0,0.0,0.0
6.822916666666668,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[75, 75]",0.0375,60.0,75.0,75.0
7.170833333333334,0.3479166666666666,['note_on'],0.0,[76],[57],0.3479166666666666,60.0,-18.0,57.0
7.172916666666668,0.0020833333333333,['note_on'],0.0,[76],[57],0.0020833333333333,60.0,0.0,57.0
7.189583333333334,0.0,"['note_on', 'note_on']",0.0,"[72, 72]","[0, 0]",0.0166666666666666,60.0,-57.0,0.0
7.38125,0.1916666666666666,['note_on'],0.0,[79],[77],0.1916666666666666,60.0,77.0,77.0
7.383333333333334,0.0020833333333333,['note_on'],0.0,[79],[77],0.0020833333333333,60.0,0.0,77.0
7.4,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0166666666666666,60.0,-77.0,0.0
8.233333333333334,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.8333333333333334,60.0,0.0,0.0
