sec,ticks,msg_type,channel,note,velocity,note_lengths,tempo,mean_velocity,diff_velocity,dynamic,accent
7.893749999999997,0.0270833333333333,['note_on'],0.0,[79],[0],0.0270833333333333,60.0,-66.0,0.0,ppp,0
7.89583333333333,0.0020833333333333,['note_on'],0.0,[79],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
8.204166666666664,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[68, 68]",0.3083333333333333,60.0,68.0,68.0,mp,0
8.23333333333333,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.0291666666666666,60.0,-68.0,0.0,ppp,0
8.377083333333331,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[81, 81]",0.14375,60.0,81.0,81.0,mf,1
8.437499999999998,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[0, 0]",0.0604166666666666,60.0,-81.0,0.0,ppp,0
8.847916666666665,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.4104166666666666,60.0,0.0,0.0,ppp,0
8.864583333333332,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[62, 62]",0.0166666666666666,60.0,62.0,62.0,mp,0
9.187499999999998,0.0,"['note_on', 'note_on']",0.0,"[76, 76]","[57, 57]",0.3229166666666667,60.0,-5.0,57.0,p,0
9.193749999999998,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.00625,60.0,-57.0,0.0,ppp,0
9.36875,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[79, 79]",0.175,60.0,79.0,79.0,mf,1
9.433333333333332,0.0645833333333333,['note_on'],0.0,[76],[0],0.0645833333333333,60.0,-79.0,0.0,ppp,0
9.435416666666663,0.0020833333333333,['note_on'],0.0,[76],[0],0.0020833333333333,60.0,0.0,0.0,ppp,0
9.652083333333332,0.0,"['note_on', 'note_on']",0.0,"[79, 79]","[0, 0]",0.2166666666666666,60.0,0.0,0.0,ppp,0
9.689583333333331,0.0375,['note_on'],0.0,[67],[77],0.0375,60.0,77.0,77.0,mf,1
9.691666666666665,0.0020833333333333,['note_on'],0.0,[67],[77],0.0020833333333333,60.0,0.0,77.0,mf,0
9.874999999999998,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.1833333333333333,60.0,-77.0,0.0,ppp,0
10.185416666666663,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[75, 75]",0.3104166666666667,60.0,75.0,75.0,mf,0
10.366666666666664,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[68, 68]",0.18125,60.0,-7.0,68.0,mp,0
10.39375,0.0,"['note_on', 'note_on']",0.0,"[67, 67]","[0, 0]",0.0270833333333333,60.0,-68.0,0.0,ppp,0
10.7,0.30625,['note_on'],0.0,[71],[64],0.30625,60.0,64.0,64.0,mp,0
10.702083333333333,0.0020833333333333,['note_on'],0.0,[71],[64],0.0020833333333333,60.0,0.0,64.0,mp,0
10.725,0.0,"['note_on', 'note_on']",0.0,"[69, 69]","[0, 0]",0.0229166666666666,60.0,-64.0,0.0,ppp,0
10.864583333333332,0.0,"['note_on', 'note_on']",0.0,"[71, 71]","[0, 0]",0.1395833333333333,60.0,0.0,0.0,ppp,0
10.874999999999998,0.0104166666666666,['note_on'],0.0,[72],[84],0.0104166666666666,60.0,84.0,84.0,mf,1
10.877083333333331,0.0020833333333333,['note_on'],0.0,[72],[84],0.0020833333333333,60.0,0.0,84.0,mf,0
12.470833333333331,0.0,"['note_on', 'note_on']",,"[72, 72]","[0, 0]",1.59375,60.0,-84.0,0.0,ppp,0
0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0
