,msg_note,msg_velocity,tick,msg_channel,count,msg_type
151,[68],[64],360,[0],1,['note_on']
152,[68],[64],360,[0],1,['note_on']
153,[68],[64],360,[0],1,['note_on']
154,[68],[64],360,[0],1,['note_on']
155,[68],[64],360,[0],1,['note_on']
156,[68],[64],360,[0],1,['note_on']
157,[68],[64],360,[0],1,['note_on']
158,[68],[64],360,[0],1,['note_on']
159,[68],[64],360,[0],1,['note_on']
160,[68],[64],360,[0],1,['note_on']
161,[68],[64],360,[0],1,['note_on']
162,[68],[64],360,[0],1,['note_on']
163,[68],[64],360,[0],1,['note_on']
164,[68],[64],360,[0],1,['note_on']
165,[68],[64],360,[0],1,['note_on']
166,[68],[64],360,[0],1,['note_on']
167,[68],[64],360,[0],1,['note_on']
168,[68],[64],360,[0],1,['note_on']
169,[68],[64],360,[0],1,['note_on']
170,[68],[64],360,[0],1,['note_on']
171,[68],[64],360,[0],1,['note_on']
172,[68],[64],360,[0],1,['note_on']
173,[68],[64],360,[0],1,['note_on']
174,[68],[64],360,[0],1,['note_on']
175,[68],[64],360,[0],1,['note_on']
176,[68],[64],360,[0],1,['note_on']
177,[68],[64],360,[0],1,['note_on']
178,[68],[64],360,[0],1,['note_on']
179,[68],[64],360,[0],1,['note_on']
180,[68],[64],360,[0],1,['note_on']
181,[68],[64],360,[0],1,['note_on']
182,[68],[64],360,[0],1,['note_on']
183,[68],[64],360,[0],1,['note_on']
184,[68],[64],360,[0],1,['note_on']
185,[68],[64],360,[0],1,['note_on']
186,[68],[64],360,[0],1,['note_on']
187,[68],[64],360,[0],1,['note_on']
188,[68],[64],360,[0],1,['note_on']
189,[68],[64],360,[0],1,['note_on']
190,[68],[64],360,[0],1,['note_on']
191,[68],[64],360,[0],1,['note_on']
192,[68],[64],360,[0],1,['note_on']
193,[68],[64],360,[0],1,['note_on']
194,[68],[64],360,[0],1,['note_on']
195,[68],[64],360,[0],1,['note_on']
196,[68],[64],360,[0],1,['note_on']
197,[68],[64],360,[0],1,['note_on']
198,[68],[64],360,[0],1,['note_on']
199,[68],[64],360,[0],1,['note_on']
200,[68],[64],360,[0],1,['note_on']
201,[68],[64],360,[0],1,['note_on']
202,[68],[64],360,[0],1,['note_on']
203,[68],[64],360,[0],1,['note_on']
204,[68],[64],360,[0],1,['note_on']
205,[68],[64],360,[0],1,['note_on']
206,[68],[64],360,[0],1,['note_on']
207,[68],[64],360,[0],1,['note_on']
208,[68],[64],360,[0],1,['note_on']
209,[68],[64],360,[0],1,['note_on']
210,[68],[64],360,[0],1,['note_on']
211,[68],[64],360,[0],1,['note_on']
212,[68],[64],360,[0],1,['note_on']
213,[68],[64],360,[0],1,['note_on']
214,[68],[64],360,[0],1,['note_on']
215,[68],[64],360,[0],1,['note_on']
216,[68],[64],360,[0],1,['note_on']
217,[68],[64],360,[0],1,['note_on']
218,[68],[64],360,[0],1,['note_on']
219,[68],[64],360,[0],1,['note_on']
220,[68],[64],360,[0],1,['note_on']
221,[68],[64],360,[0],1,['note_on']
222,[68],[64],360,[0],1,['note_on']
223,[68],[64],360,[0],1,['note_on']
224,[68],[64],360,[0],1,['note_on']
225,[68],[64],360,[0],1,['note_on']
226,[68],[64],360,[0],1,['note_on']
227,[68],[64],360,[0],1,['note_on']
228,[68],[64],360,[0],1,['note_on']
229,[68],[64],360,[0],1,['note_on']
230,[68],[64],360,[0],1,['note_on']
231,[68],[64],360,[0],1,['note_on']
232,[68],[64],360,[0],1,['note_on']
233,[68],[64],360,[0],1,['note_on']
234,[68],[64],360,[0],1,['note_on']
235,[68],[64],360,[0],1,['note_on']
236,[68],[64],360,[0],1,['note_on']
237,[68],[64],360,[0],1,['note_on']
238,[68],[64],360,[0],1,['note_on']
239,[68],[64],360,[0],1,['note_on']
240,[68],[64],360,[0],1,['note_on']
241,[68],[64],360,[0],1,['note_on']
242,[68],[64],360,[0],1,['note_on']
243,[68],[64],360,[0],1,['note_on']
244,[68],[64],360,[0],1,['note_on']
245,[68],[64],360,[0],1,['note_on']
246,[68],[64],360,[0],1,['note_on']
247,[68],[64],360,[0],1,['note_on']
248,[68],[64],360,[0],1,['note_on']
249,[68],[64],360,[0],1,['note_on']
250,[68],[64],360,[0],1,['note_on']
251,[68],[64],360,[0],1,['note_on']
252,[68],[64],360,[0],1,['note_on']
253,[68],[64],360,[0],1,['note_on']
254,[68],[64],360,[0],1,['note_on']
255,[68],[64],360,[0],1,['note_on']
256,[68],[64],360,[0],1,['note_on']
257,[68],[64],360,[0],1,['note_on']
258,[68],[64],360,[0],1,['note_on']
259,[68],[64],360,[0],1,['note_on']
260,[68],[64],360,[0],1,['note_on']
261,[68],[64],360,[0],1,['note_on']
262,[68],[64],360,[0],1,['note_on']
263,[68],[64],360,[0],1,['note_on']
264,[68],[64],360,[0],1,['note_on']
265,[68],[64],360,[0],1,['note_on']
266,[68],[64],360,[0],1,['note_on']
267,[68],[64],360,[0],1,['note_on']
268,[68],[64],360,[0],1,['note_on']
269,[68],[64],360,[0],1,['note_on']
270,[68],[64],360,[0],1,['note_on']
271,[68],[64],360,[0],1,['note_on']
272,[68],[64],360,[0],1,['note_on']
273,[68],[64],360,[0],1,['note_on']
274,[68],[64],360,[0],1,['note_on']
275,[68],[64],360,[0],1,['note_on']
276,[68],[64],360,[0],1,['note_on']
277,[68],[64],360,[0],1,['note_on']
278,[68],[64],360,[0],1,['note_on']
279,[68],[64],360,[0],1,['note_on']
280,[68],[64],360,[0],1,['note_on']
281,[68],[64],360,[0],1,['note_on']
282,[68],[64],360,[0],1,['note_on']
283,[68],[64],360,[0],1,['note_on']
284,[68],[64],360,[0],1,['note_on']
285,[68],[64],360,[0],1,['note_on']
286,[68],[64],360,[0],1,['note_on']
287,[68],[64],360,[0],1,['note_on']
288,[68],[64],360,[0],1,['note_on']
289,[68],[64],360,[0],1,['note_on']
290,[68],[64],360,[0],1,['note_on']
291,[68],[64],360,[0],1,['note_on']
292,[68],[64],360,[0],1,['note_on']
293,[68],[64],360,[0],1,['note_on']
294,[68],[64],360,[0],1,['note_on']
295,[68],[64],360,[0],1,['note_on']
296,[68],[64],360,[0],1,['note_on']
297,[68],[64],360,[0],1,['note_on']
298,[68],[64],360,[0],1,['note_on']
299,[68],[64],360,[0],1,['note_on']
300,[68],[64],360,[0],1,['note_on']
301,[68],[64],360,[0],1,['note_on']
302,[68],[64],360,[0],1,['note_on']
303,[68],[64],360,[0],1,['note_on']
304,[68],[64],360,[0],1,['note_on']
305,[68],[64],360,[0],1,['note_on']
306,[68],[64],360,[0],1,['note_on']
307,[68],[64],360,[0],1,['note_on']
308,[68],[64],360,[0],1,['note_on']
