,sec,msg_type,channel,note,velocity,new_octave,dynamic,accent,count,main_vol,depth,pedal,pan
907,90.7,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
908,90.8,"['note_on', 'note_on']","[0, 0]","[59, 59]","[40, 40]","[2, 3]",pp,0,2,0,0,0,0
909,90.9,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
910,91.0,"['note_on', 'note_on', 'note_off', 'note_off', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[65, 65, 55, 55, 59, 59]","[55, 55, 0, 0, 0, 0]","[2, 3, 4]",ppp,0,6,0,0,0,0
911,91.1,[],[],[],[],"[2, 3, 4]",,0,0,0,0,0,0
912,91.2,"['note_on', 'note_on']","[0, 0]","[55, 55]","[46, 46]","[2, 3, 4]",pp,0,2,0,0,0,0
913,91.3,"['note_off', 'note_off']","[0, 0]","[65, 65]","[0, 0]","[2, 3]",ppp,0,2,0,0,0,0
914,91.4,"['note_on', 'note_on']","[0, 0]","[59, 59]","[44, 44]","[2, 3]",pp,0,2,0,0,0,0
915,91.5,"['note_off', 'note_off']","[0, 0]","[43, 43]","[0, 0]",[3],ppp,0,2,0,0,0,0
916,91.6,"['note_off', 'note_off', 'note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0, 0, 0]","[50, 50, 65, 65, 59, 59]","[0, 0, 59, 59, 0, 0]","[3, 4]",ppp,0,6,0,0,0,0
917,91.7,[],[],[],[],"[3, 4]",,0,0,0,0,0,0
918,91.8,"['note_on', 'note_on', 'note_off', 'note_off']","[0, 0, 0, 0]","[43, 43, 55, 55]","[44, 44, 0, 0]","[2, 4]",ppp,0,4,0,0,0,0
919,91.9,"['note_off', 'note_off']","[0, 0]","[65, 65]","[0, 0]",[2],ppp,0,2,0,0,0,0
920,92.0,"['note_on', 'note_on']","[0, 0]","[50, 50]","[38, 38]","[2, 3]",pp,0,2,0,0,0,0
921,92.1,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
922,92.2,"['note_on', 'note_on']","[0, 0]","[55, 55]","[51, 51]","[2, 3]",p,0,2,0,0,0,0
923,92.3,[],[],[],[],"[2, 3]",,0,0,0,0,0,0
