Sec,Ticks,msg_type,Channel,Notes,Velocities,Tempo,mean_velocity,diff_velocity
0,0,['note_on'],0,[81],[127],175.00007291669704,127.0,127.0
0.08214282291666666,0.08214282291666666,['note_off'],0,[81],[0],175.00007291669704,-127.0,0.0
0.08571424999999999,0.003571427083333333,['note_on'],0,[77],[127],175.00007291669704,127.0,127.0
0.16785707291666666,0.08214282291666666,['note_off'],0,[77],[0],175.00007291669704,-127.0,0.0
0.17142849999999998,0,"['note_on', 'note_on', 'note_on']",0,"[81, 33, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
0.2535713229166666,0.08214282291666666,['note_off'],0,[81],[0],175.00007291669704,-116.66666666666667,0.0
0.25714275,0.003571427083333333,['note_on'],0,[77],[127],175.00007291669704,127.0,127.0
0.3392855729166666,0,"['note_off', 'note_off', 'note_off']",0,"[77, 33, 35]","[0, 0, 0]",175.00007291669704,-127.0,0.0
0.34285699999999997,0,"['note_on', 'note_on', 'note_on']",0,"[83, 45, 38]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
0.4249998229166666,0.08214282291666666,['note_off'],0,[83],[0],175.00007291669704,-116.66666666666667,0.0
0.42857124999999996,0.003571427083333333,['note_on'],0,[79],[127],175.00007291669704,127.0,127.0
0.5107140729166666,0,"['note_off', 'note_off', 'note_off']",0,"[79, 45, 38]","[0, 0, 0]",175.00007291669704,-127.0,0.0
0.5142855,0,"['note_on', 'note_on', 'note_on']",0,"[83, 33, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
0.5964283229166666,0.08214282291666666,['note_off'],0,[83],[0],175.00007291669704,-116.66666666666667,0.0
0.5999997499999999,0.003571427083333333,['note_on'],0,[79],[127],175.00007291669704,127.0,127.0
0.6821425729166666,0,"['note_off', 'note_off', 'note_off']",0,"[79, 33, 35]","[0, 0, 0]",175.00007291669704,-127.0,0.0
0.6857139999999999,0,"['note_on', 'note_on', 'note_on']",0,"[84, 34, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
0.7678568229166666,0.08214282291666666,['note_off'],0,[84],[0],175.00007291669704,-116.66666666666667,0.0
0.7714282499999999,0.003571427083333333,['note_on'],0,[81],[127],175.00007291669704,127.0,127.0
0.8535710729166666,0,"['note_off', 'note_off', 'note_off']",0,"[81, 34, 35]","[0, 0, 0]",175.00007291669704,-127.0,0.0
0.8571424999999999,0,"['note_on', 'note_on', 'note_on']",0,"[84, 46, 38]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
0.9392853229166666,0.08214282291666666,['note_off'],0,[84],[0],175.00007291669704,-116.66666666666667,0.0
0.9428567499999999,0.003571427083333333,['note_on'],0,[81],[127],175.00007291669704,127.0,127.0
1.0249995729166665,0,"['note_off', 'note_off', 'note_off']",0,"[81, 46, 38]","[0, 0, 0]",175.00007291669704,-127.0,0.0
1.028571,0,"['note_on', 'note_on', 'note_on']",0,"[86, 35, 35]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
1.1107138229166666,0.08214282291666666,['note_off'],0,[86],[0],175.00007291669704,-116.66666666666667,0.0
1.11428525,0.003571427083333333,['note_on'],0,[83],[127],175.00007291669704,127.0,127.0
1.1964280729166668,0,"['note_off', 'note_off', 'note_off']",0,"[83, 35, 35]","[0, 0, 0]",175.00007291669704,-127.0,0.0
1.1999995,0,"['note_on', 'note_on', 'note_on']",0,"[86, 47, 38]","[127, 96, 127]",175.00007291669704,116.66666666666667,116.66666666666667
1.2821423229166669,0.08214282291666666,['note_off'],0,[86],[0],175.00007291669704,-116.66666666666667,0.0
1.2857137500000002,0.003571427083333333,['note_on'],0,[83],[127],175.00007291669704,127.0,127.0
