sec,tick,bpm,msg_type,channel,note,velocity,dynamic,accent,count,main_vol,depth,pedal,pan,tempo
0.077,74,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.078,75,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.079,76,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.08,77,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.081,78,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.082,79,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.083,80,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.084,81,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.085,82,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.086,83,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.087,84,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.088,85,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.089,86,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.09,87,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.091,88,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.092,89,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.093,90,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.094,91,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.095,92,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.096,93,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.097,94,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.098,95,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.1,96,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.101,97,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.102,98,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.103,99,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.104,100,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.105,101,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.106,102,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.107,103,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.108,104,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.109,105,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.11,106,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.111,107,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.112,108,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.113,109,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.114,110,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.115,111,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.116,112,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.117,113,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.118,114,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.119,115,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.12,116,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.121,117,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.122,118,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.123,119,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.125,120,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.126,121,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.127,122,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.128,123,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.129,124,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.13,125,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.131,126,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.132,127,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.133,128,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.134,129,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.135,130,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.136,131,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.137,132,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.138,133,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.139,134,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.14,135,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.141,136,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.142,137,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.143,138,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.144,139,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.145,140,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.146,141,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.147,142,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.148,143,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.15,144,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.151,145,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.152,146,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.153,147,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.154,148,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.155,149,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.156,150,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.157,151,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.158,152,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.159,153,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.16,154,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.161,155,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.162,156,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.163,157,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.164,158,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.165,159,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.166,160,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.167,161,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.168,162,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.169,163,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.17,164,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.171,165,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.172,166,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.173,167,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.175,168,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.176,169,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
0.177,170,120.0,[],[],[],[],ppp,0,0,100,0,0,64,500000
